date,side,amount,balance,status,description
2026-05-16,expense,40000,19526,pending,振込 ダイシホクエツ イケダ ユウマ
2026-05-19,income,23258,42784,registered,振込 UBER EATS JAPAN
2026-05-21,income,196,42980,pending,振込 GMOあおぞらネット VISAデビットキャッシュバック
2026-05-22,income,4003,46983,registered,振込 カ）デマエカン
2026-05-22,income,28041,75024,pending,振込 グーグル
2026-05-23,expense,3940,71084,registered,Visaデビット利用 アポロステーション
2026-05-26,income,39888,110972,registered,振込 UBER EATS JAPAN
2026-05-29,expense,3655,107317,registered,Visaデビット利用 アポロステーション
2026-06-01,income,10,107327,registered,普通預金 利息
2026-06-01,expense,90000,17327,registered,振込 カ）コロコロ
2026-06-01,expense,105,17222,pending,Visaデビット利用 アピタ長岡店
2026-06-02,income,44021,61243,registered,振込 UBER EATS JAPAN
2026-06-04,expense,3756,57487,registered,Visaデビット利用 アポロステーション
2026-06-05,income,16947,74434,registered,振込 カ）デマエカン
2026-06-06,expense,8820,65614,registered,Visaデビット利用 Brain
2026-06-06,expense,18183,47431,pending,Visaデビット利用 海外 ANTHROPIC CLAUDE SUB
2026-06-08,expense,5000,42431,registered,ATM セブン銀行
2026-06-09,income,28494,70925,registered,振込 UBER EATS JAPAN
2026-06-09,expense,3000,67925,pending,Visaデビット利用 OPENAI CHATGPT SUBSCR
2026-06-10,expense,21343,46582,pending,Visaデビット利用 MERCARI
